"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"0.1";"R_R0402";"R0402";"R1";"RESISTOR, American symbol";"";
"6";"2.2K";"R_R0402";"R0402";"2.2K, R3, R4, R5, R6, R7";"RESISTOR, American symbol";"";
"1";"BUZZER";"BUZZER";"BUZZER_6.5MM";"U1";"CEM-1203 Buzzer";"";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3, FUD4, FUD5, FUD6";"";"";
"1";"GREEN LED";"LED2";"EIA-STD";"D1";"EIA-STD LED, LTST-C191TBKT";"";
"1";"JOYSTICK2";"JOYSTICK2";"JOYSTICK2";"U$1";"";"";
"4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"MGT1, MGT2, MGT3, MGT4";"Chassis Mounting Hole w/GND connection ability";"";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U2";"";"";
"6";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"SW1, SW2, SW3, SW4, SW5, SW6";"";"";
"1";"RED LED";"LED2";"EIA-STD";"D2";"EIA-STD LED, LTST-C191TBKT";"";
"1";"SPISCREEN";"SPISCREEN";"SCREEN";"U3";"";"";
